VEND_NAME,ADDR_DC,LN_1_ADR,LN_2_ADR,LN_3_ADR,CITY_NAME,MAIL_STATE_DC,POSTAL_CD,VEND_APPRVL_CD,VEND_GRP_CD,lat,lon
ANCRA INTERNATIONAL  ,PMT,"ANCRA INTERNATIONAL, LLC",25591 NETWORK PLACE, ,CHICAGO,IL,60673-1255,A,STRAP,,
ANGELS INSTRUMENTATION,PMT1,928 CANAL DRIVE,ATTN: ACCOUNTS RECEIVABLE, ,CHESAPEAKE,VA,23323,A,CRTCAL,,
ANGELS INSTRUMENTATION,ORD1,928 Canal Drive, , ,Chesapeake,VA,23323,A,CALBR,,
ANIXTER,ORD1,190 James Drive East,Suite 140, ,St. Rose,LA,70087,A,ELCTRN,,
ANIXTER,ORD2,2301 PATRIOT BLVD, , ,GLENVIEW,IL,60077,A,ELCTRN,,
ANIXTER,REMIT,P.O. Box 847428, , ,Dallas,TX,75284-7428,A,ELCTRN,,
ANIXTER,ORD1,45075 OLD OX RD.,SUITE 100, ,DULLES,VA,20166,A,ELCTR,,
ANIXTER,PMT1,PO BOX 847428, , ,DALLAS,TX,75284-7428,A,ELCTR,,
ANNAPOLIS INFLATABLES,PMT1,306 SECOND STREET, , ,ANNAPOLIS,MD,21403,A,MARINE,,
ANTENNA PRODUCTS,ORD1,101 SE 25TH AVENDUE, , ,MINERAL WELLS,TX,76067,A,ELCTRN,,
APEX DYNAMICS,ORD1,885 Marconi Ave, , ,Ronkonkoma,NY,11779,A,MECH,,
APM HEXSEAL,ORD1,44 Honeck St., , ,Englewood,NJ,07631,A,ADHES,,
APPLETON MARINE,ORD1,3030 EAST PERSHING ST, , ,APPLETON,WI,54911,A,CRTCAL,,
"APPLIED AVIONICS, INC ",ORD1,3201 Sandy Lane , , ,FORT WORTH ,VA,76112,A,ELECTR,,
APPLIED COMPANIES,ORD1,28020 AVENUE STANFORD, , ,VALENCIA,CA,91355,A,ELECT,,
APPLIED COMPANIES,PMT1,PO BOX 802078, , ,SANTA CLARITA,CA,91380-2078,A,ELECT,,
APPLIED INDUSTRIAL TECH.,ORD1,28020 AVENUE STANFORD, , ,VALENCIA,CA,91355,A,ELECT,,
APPLIED INDUSTRIAL TECH.,ORD2,1220 BALLENTINE BLVD, , ,NORFOLK,VA,23504-3806,A,ELECT,,
APPLIED INDUSTRIAL TECH.,PMT 2,22510 NETWORK PLACE, , ,CHICAGO,IL,60673-1225,A,ELECT,,
APPLIED INDUSTRIAL TECH.,PMT1,P.O. BOX 802078, , ,SANTA CLARITA,CA,91380-2078,A,ELECT,,
APPLIED INDUSTRIAL TECH.,ORD1,22510 NETWORK PLACE, , ,CHICAGO,IL,60673-1225,A,ELCTR,,
APPLIED TECHNICAL SERVICE,PMT 1,1049 TRIAD COURT, , ,MARIETTA,GA,30062,A,CRTCAL,,
APPLIED TECHNICAL SERVICE,ORD1,1325-B Cavalier Blvd, , ,Chesapeake,VA,23323-0283,A,CRTCAL,,
APPLIED TECHNICAL SERVICE,1099,1049 TRIAD COURT, , ,MARIETTA,GA,30062,A,CRTCAL,,
AQUACHEM,ORD1,3001 E. GOVERNOR JOHN SEIVER HWY, , ,KNOXVILLE,TN,37914,A,CRTCAL,,
"AQUANTICO, LLC",PMT 1,1427 Cunningham Brickyard Rd, , ,Thomasville ,NC,27360,A,CRTCAL,,
"AQUANTICO, LLC",ORD,1437 CUNNINGHAM BRICKYARD RD, , ,THOMASVILLE ,NC,27360,A,CRTCAL,,
ARC3 GASES,PMT 3,PO BOX 896866, , ,CHARLOTTE,NC,28289-6866,A,CRTCAL,,
ARC3 GASES,PMT 3,PO BOX 896866, , ,CHARLOTTE,NC,28289-6866,A,WELD,,
ARC3 GASES,VICTORY-WH,C2976 - FAIRLEAD BOATWORKS PORTSMOUTH,3 Lockwood Drive, ,HAMPTON,VA,23661,A,WELD,,
ARC3 GASES,BULK750,Q1731 BULK GASES,3109 S Military Highway, ,CHESAPEAKE ,VA,23323,A,CRTCAL,,
ARC3 GASES,GOODS750,J9369 HARD GOODS,3109 S Military Highway, ,CHESAPEAKE ,VA,23323,A,CRTCAL,,
ARC3 GASES,CYLNDR750,P1358 CYLINDER GASES,3109 S Military Highway, ,CHESAPEAKE ,VA,23323,A,CRTCAL,,
ARC3 GASES,FBW-WHS,A8642 - FAIRLEAD BOATWORKS NEWPORT NEWS,3 Lockwood Drive, ,HAMPTON,VA,23661,A,WELD,,
ARC3 GASES,PMT1,P O BOX 11358, , ,NORFOLK,VA,23517-0358,A,CRTCAL,,
ARC3 GASES,ORD1,304 E. 25TH ST, , ,NORFOLK,VA,23504,A,CRTCAL,,
ARC3 GASES,PMT 2,PO BOX 26269, , ,RICHMOND,VA,23260-6269,A,CRTCAL,,
ARC3 GASES,PMT1,P.O. BOX 26269, , ,RICHMOND,VA,23260,A,WELD,,
AREMCO,ORD1,707-B Executive Blvd.,P.O. Box 517, ,Valley Cottage,NY,10989,A,ADHESI,,
"ARGUS STEEL PRODUCTS, INC",ORD1,P.O. BOX 25133, , ,RICHMOND,VA,23260,A,AL/STL,,
"ARGUS STEEL PRODUCTS, INC",PMT1,P.O. BOX 25133, , ,RICHMOND,VA,23260,A,AL/STL,,
"ARGUS STEEL PRODUCTS, INC",PMT2,11039 LEADBETTER ROAD, , ,ASHLAND,VA,23005,A,AL/STL,,
ARROW ELECTRONICS,ORD1,7459 S Lima Street, , ,Englewood,CO,80112-5816,A,ELCTRN,,
ARROW ELECTRONICS,PMT 1,PO BOX 350090, , ,BOSTON,MA,02241,A,ELCTRN,,
ARROW ELECTRONICS,ORD1,2601 CREEKSIDE DR,SUITE 170, ,DURHAM,NC,27703,A,ELECTR,,
ARROW ELECTRONICS,PMT1,PO BOX 350090, , ,BOSTON,MA, ,A,ELECTR,,
ASHLEY VALVE,ORD1,571 CENTRAL DRIVE, , ,VIRGINIA BEACH,VA,23454,A,CRTCAL,,
ASHLEY VALVES,222,220 PENNSYLVANNIA AVE, , ,VIRGINIA BEACH,VA,23462,A,CRTCAL,,
ASHLEY VALVES,PYT,571 CENTRAL DRIVE, , ,VIRGINIA BEACH,VA,23454,A,CRTCAL,,
ASHTEAD TECHNOLOGY ,ORD1,14825 Northwest freeway ,SUITE 900, ,HOUSTON,TX,77040,A,TOOLS,,
ASKEW INDUSTRIAL CORP.,ORD1,2920 SUPPLY AVENUE, , ,COMMERCE,CA,90040,A,HDW,,
ASKEW INDUSTRIAL CORP.,ORD2,911 LIVE OAK DRIVE,SUITE 104, ,CHESAPEAKE,VA,23320,A,HDW,,
ASKEW INDUSTRIAL CORP.,PMT1,2920 SUPPLY AVENUE, , ,LOS ANGELES,CA,90040,A,HDW,,
ASKEW INDUSTRIAL CORP.,PMT2,13071 Artic Circle, , ,Santa Fe Springs,CA,90670,A,HDW,,
ASSOCIATED BAG COMPANY,PMT1,PO BOX 3285, , ,MILWAUKEE,WI,53201-3285,A,PLSTC,,
ASSOCIATED BAG COMPANY,PMT2,PO BOX 8820, , ,CAROL STREAM,IL,60197-8820,A,PLSTC,,
ASTRODYNE CORPORATION ,ORD1,36 NEWBURGH RD , , ,HACKETTSTOWN ,NJ,07840-3910,A,CRTCAL,,
ASTRODYNE CORPORATION ,PMT1,29121 NETWORK PLACE, , ,CHICAGO,IL,60673-1291,A,CRTCAL,,
ASTRODYNE TDI,PMT1,22895 EASTPARK DRIVE, , ,YORBA LINDA,CA,922887,A,ELECTR,,
ASTUTE ELECTRONICS INC.,ORD1,1033 CHAMPIONS WAY,SUITE 500, ,SUFFOLK,VA,23435,A,ELCTRN,,
ASTUTE ELECTRONICS INC.,ORD1,1033 Champions Way, , ,SUFFOLK,VA,23435,A,ELECTR,,
ASTUTE ELECTRONICS INC.,PMT,500 CENTER RIDGE DRIVE,SUITE 600, ,AUSTIN,TX,78753,A,ELCTRN,,
"ATCOM SERVICES, INC.",ORDER,155 Meadow Road Suite 100, , ,Clark,NJ,07066,A,ELCTRN,,
ATHENA COMPUTER POWER,ORD1,17901 Arenth Ave, , ,City of Industry,CA,91748,A,COMPTR,,
ATLANTECH DISTRIBUTION,ORD1,10 Lockwood Drive, , ,HAMPTON,VA,23661,A,INSUL,,
"ATLANTIC ACOUSTICS, INC.",ORD1,1616 TAUTOG ROAD, , ,SUFFOLK,VA,23433,A,CRTCAL,,
